param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
3,0.014058937101050604,-0.004571290175748531,0.001997127692557486,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
4,0.00026195411268567704,-0.0038114247709509002,-0.001979568710767751,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
0,4.124730797669297,5.37420623100887,5.474478814884775,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
1,0.09912655359231252,-0.019631332172613994,-0.011644679313294649,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
2,-0.025809134486986095,-0.01437460055610738,-0.00887550236646328,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
3,0.02076574389484231,-0.01125572191771586,-0.002376430406965974,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
4,0.007461100974323385,-0.001142906325591485,-0.0029112689901793247,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
0,4.076310820867608,5.376392372817744,5.509750253246309,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
1,0.044717026790562275,-0.025086759665589875,-0.01237452026792818,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
2,0.020295714962014304,-0.03435975071340284,-0.004914988497492219,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
3,0.004966124303820571,0.008630711801780808,0.003832216944402849,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
4,0.002280508664150962,-0.012024410891364532,0.0015050810992949613,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
0,4.240384892779458,5.33745192581258,5.447340781133206,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
1,0.07178729880068994,-0.04049717949381178,-0.03747326031552592,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
2,-0.015074899382029161,-0.020561475173438527,-0.004192581544182106,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
3,0.015039424011881165,-0.005330099841279277,-0.004883205952345205,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
4,-0.006793315716345777,-0.0024571894575791957,-0.001168633614031474,0.00040458721979773436,josef-fruehwald_speaker,0-0-218-1,group_0,ey,6512.820512820513,1,4,rain,1,0.10999999999999943,the,"",R,N,R,N,internal
0,4.311211788293448,5.3571859435500535,5.422716268865049,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
1,0.02996981584831353,-0.03563006528321517,-0.02383650713588426,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
2,-0.050163049697825625,-0.013513253443424949,-0.0031056915774257225,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
3,-0.0012060164723328149,-0.003707660546074697,-0.0030659379898860233,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
4,-0.00820393200333578,-0.0040902453424409325,0.003937660747508841,0.0002968436802724641,josef-fruehwald_speaker,0-0-237-1,group_0,ey,5641.025641025641,1,4,raindrops,1,0.0799999999999983,the,"",R,N,R,N,internal
0,4.165731200068259,5.387485276144218,5.745712830512015,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
1,0.09389012367518937,-0.026935022111001978,-0.034306633930902365,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
2,0.028078246035220866,-0.01244373448580371,-0.0012961276869022126,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
3,-0.008966050236311493,-0.004349954103607851,0.003964340784058921,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
4,0.0013683366882167075,-0.0034151866492563056,0.002155788276021303,0.00027804863698400366,josef-fruehwald_speaker,0-0-242-1,group_0,ey,10000.0,1,4,rainbow,1,0.0799999999999983,the,"",R,N,R,N,internal
